time,algae,rotifers,egg-ratio,eggs,dead animals,external medium
48.95,0.95,26.49,0.92,24.28,1.61,80.0
49.95,0.27,34.52,0.11,3.81,3.61,80.0
50.97,0.13,23.88,0.33,7.83,3.41,80.0
52.09,0.28,7.83,0.51,4.01,1.0,80.0
53.17,0.69,18.66,0.47,8.83,1.61,80.0
53.97,1.04,20.87,0.6,12.44,1.0,80.0
54.98,0.72,35.72,0.58,20.87,3.61,80.0
55.95,0.19,32.31,0.12,4.01,4.62,80.0
56.94,0.12,17.06,0.11,1.81,2.41,80.0
57.91,0.24,9.43,0.51,4.82,0.8,80.0
59.11,0.32,7.22,0.5,3.61,0.6,80.0
60.07,0.4,10.64,0.98,10.43,0.6,80.0
60.88,0.66,17.66,0.9,15.85,0.8,80.0
61.91,0.48,36.32,0.39,14.05,0.4,80.0
62.91,0.64,25.49,0.39,10.03,0.4,80.0
63.91,0.64,32.31,0.26,8.43,2.41,80.0
64.9,0.57,17.46,0.46,8.03,1.81,80.0
65.9,0.72,21.07,0.56,11.84,1.2,80.0
67.12,0.69,24.68,0.41,10.23,1.4,80.0
67.96,0.83,25.28,0.67,16.86,2.01,80.0
68.93,0.73,28.5,0.49,13.85,2.61,80.0
69.95,0.44,21.87,0.21,4.62,1.81,80.0
70.91,0.81,22.27,0.89,19.87,1.2,80.0
71.9,0.86,22.48,0.82,18.46,1.0,80.0
73.24,0.66,43.75,0.18,8.03,1.0,80.0
73.9,0.55,29.5,0.31,9.03,1.0,80.0
74.94,0.57,23.68,0.58,13.85,2.01,80.0
75.98,0.47,26.69,0.45,12.04,1.0,80.0
76.98,0.4,27.89,0.38,10.64,1.4,80.0
77.9,0.25,27.49,0.23,6.22,0.0,80.0
78.94,0.36,24.88,0.4,9.83,1.61,80.0
79.97,0.38,33.71,0.49,16.66,0.8,80.0
81.0,0.69,22.07,0.65,14.45,0.8,80.0
81.92,0.62,23.28,0.48,11.24,1.4,80.0
82.95,0.37,30.3,0.26,7.83,0.8,80.0
83.92,0.33,30.7,0.44,13.65,2.21,80.0
85.24,0.41,49.16,0.36,17.66,2.81,80.0
85.94,0.57,19.67,0.51,10.03,2.21,80.0
87.18,0.37,21.67,0.32,7.02,2.21,80.0
88.23,0.75,20.47,1.01,20.67,1.81,80.0
88.95,0.77,36.52,0.58,21.07,0.4,80.0
89.98,0.23,35.32,0.11,3.81,0.0,80.0
90.89,0.34,18.46,0.23,4.21,2.21,80.0
91.97,0.35,16.25,0.74,12.04,1.61,80.0
92.93,0.6,16.86,0.67,11.24,1.0,80.0
93.95,0.69,28.5,0.49,14.05,1.4,80.0
95.12,0.27,39.13,0.12,4.82,2.01,80.0
95.92,0.27,28.09,0.24,6.62,1.81,80.0
96.93,0.32,19.47,0.76,14.85,1.0,80.0
97.99,0.54,26.09,0.87,22.68,1.61,80.0
98.91,0.53,32.11,0.5,16.05,0.6,80.0
99.88,0.22,28.09,0.2,5.62,1.4,80.0
101.07,0.43,18.86,0.52,9.83,1.4,80.0
101.96,0.77,25.49,0.62,15.85,0.4,80.0
102.91,0.48,24.88,0.44,10.84,0.8,80.0
103.95,0.37,32.51,0.3,9.83,1.0,80.0
104.86,0.46,27.89,0.47,13.24,1.4,80.0
105.84,0.55,33.51,0.44,14.65,2.61,80.0
106.92,0.54,34.92,0.29,10.03,2.01,80.0
107.99,0.55,29.1,0.47,13.65,1.61,80.0
109.17,0.73,43.75,0.4,17.66,1.4,80.0
109.93,0.46,51.57,0.33,17.26,3.21,80.0
110.96,0.26,41.54,0.05,2.01,4.41,80.0
111.95,0.16,22.48,0.18,4.01,2.61,80.0
113.0,0.34,17.06,0.61,10.43,4.62,80.0
113.93,0.31,13.85,1.41,19.47,2.81,80.0
115.08,0.33,66.02,0.14,9.23,3.21,80.0
116.15,0.2,33.51,0.0,0.0,10.84,80.0
116.94,0.15,12.64,0.08,1.0,1.2,80.0
117.91,0.21,5.82,0.28,1.61,8.03,80.0
118.9,0.16,9.83,0.16,1.61,1.0,80.0
119.95,0.45,12.84,0.72,9.23,1.61,80.0
121.01,1.01,23.28,0.83,19.26,2.01,80.0
122.21,0.94,37.73,0.28,10.64,1.4,80.0
122.94,0.92,36.12,0.66,23.88,1.2,80.0
123.94,0.52,46.56,0.28,12.84,2.41,80.0
124.93,0.42,34.52,0.23,8.03,1.4,80.0
125.94,0.54,31.3,0.21,6.42,2.61,80.0
126.96,0.39,17.26,0.53,9.23,1.61,80.0
127.92,0.53,24.08,0.61,14.65,0.8,80.0
129.17,0.41,35.32,0.2,7.02,0.8,80.0
130.22,0.48,22.48,0.32,7.22,0.6,80.0
130.94,0.45,19.06,0.67,12.84,0.4,80.0
131.93,0.57,27.49,0.77,21.07,1.61,80.0
132.96,0.44,35.52,0.27,9.63,1.2,80.0
133.93,0.43,25.28,0.3,7.63,0.2,80.0
134.93,0.33,20.67,0.38,7.83,2.41,80.0
135.93,0.2,21.47,0.14,3.01,1.0,80.0
136.96,0.68,25.49,0.58,14.85,0.8,80.0
137.96,0.33,41.74,0.19,8.03,0.8,80.0
